k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd_flat.mocap_pos.1,Bus_Cmd_flat.mocap_pos.2,Bus_Cmd_flat.mocap_pos.3,Bus_Cmd_flat.q_ext.1,Bus_Cmd_flat.q_ext.2,Bus_Cmd_flat.q_ext.3,Bus_Cmd_flat.q_ext.4,Bus_Cmd_flat.p_ref.1,Bus_Cmd_flat.p_ref.2,Bus_Cmd_flat.p_ref.3,Bus_Cmd_flat.v_ref.1,Bus_Cmd_flat.v_ref.2,Bus_Cmd_flat.v_ref.3,Bus_Cmd_flat.a_ref.1,Bus_Cmd_flat.a_ref.2,Bus_Cmd_flat.a_ref.3,Bus_Cmd_flat.j_ref.1,Bus_Cmd_flat.j_ref.2,Bus_Cmd_flat.j_ref.3,Bus_Cmd_flat.s_ref.1,Bus_Cmd_flat.s_ref.2,Bus_Cmd_flat.s_ref.3,Bus_Cmd_flat.yaw_ref.1,Bus_Cmd_flat.yaw_ref.2,Bus_Cmd_flat.yaw_ref.3,Bus_Cmd_flat.estop.1,Bus_Cmd_flat.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4,dbg.1,dbg.2,dbg.3,dbg.4,dbg.5,dbg.6,dbg.7,dbg.8,dbg.9
0,0,-0.1728281316258391,0.17051102458820627,-0.17229373717384208,0.015801756040292117,-0.12023136954327719,0.03458091411725675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1194.5858828487876,1378.2157516521329,1196.9098444041215,1316.6845524092278,0,65.424490365753996,77.611631090866922,65.575180474386073,73.4646946267179,0.84999999999999998,9.6628500000000006,0,0,0,-35.208649864307411,-37.476556524183657,0.059572148037123865,0
1,0.001,-0.16721269732121405,0.1658176059643845,-0.16873035968922001,0.04101065656688082,-0.10492048811867451,-0.053223687998333234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1195.3549661394013,1376.5276725461667,1199.3458300290497,1315.5353007124861,0,65.474349130809898,77.497011580841388,65.733232034406981,73.387846362023751,0.84999999999999998,9.6628500000000006,0,0,0,-33.973351020478873,-37.952120722053564,-0.38125700188448391,0
2,0.002,-0.15541063801996474,0.16050670543364629,-0.15757416272433578,0.16312717211460376,0.063016662957288666,-0.00083351200346987175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1200.6289899256471,1369.9642392319797,1204.1389996201947,1313.2074393810535,0,65.816526151739538,77.051814435786056,66.044514001380946,73.232254852717872,0.84999999999999998,9.6628664030134317,0,0,0,-31.599575641676079,-35.087694630787844,-0.90077878874876538,0
3,0.0030000000000000001,-0.15023845854453538,0.14880038333260792,-0.15119160212324717,-0.13900182670927635,0.068690435826015833,-0.30805363543911757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1203.3773530064361,1366.3457736799712,1207.1280193087869,1311.7248733421434,0,65.995024674499163,76.806684319959444,66.238825168685054,73.13320943452446,0.84999999999999998,9.6628984418094017,0,0,0,-30.148090584485985,-33.863114199442727,-1.30922895341843,0
4,0.0040000000000000001,-0.13423793322515881,0.13563054156286525,-0.13161525700719634,-0.034159126343581307,0.087740575950740404,-0.11959282562205253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1213.2583440014143,1355.8287012604262,1215.107311521173,1306.1684469083775,0,66.63781786596968,76.095464793665329,66.758282252203514,72.762331848015606,0.84999999999999998,9.6629446390371161,0,0,0,-28.049256905909321,-29.756492055455602,-1.7262891340578379,0
5,0.0050000000000000001,-0.11946047407430395,0.12289542309160917,-0.11892434757293718,-0.02636098183567194,0.16770470456864545,-0.29920874384913254,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1219.6912424261413,1348.1200273081924,1220.1993274362776,1303.4217419415622,0,67.057183845558086,75.575346441686463,67.090336011960872,72.579188112253689,0.84999999999999998,9.6630040265023514,0,0,0,-25.756479955991246,-26.046215545306218,-2.0823129758442924,0
6,0.0060000000000000001,-0.10675706098561669,0.10801169625241119,-0.10454073913817839,-0.12354481666624284,0.16215699546394868,-0.42957150586442239,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1226.46867538166,1339.8762191494066,1226.439832737731,1299.7183901537401,0,67.499763909790715,75.020228519075488,67.497878788524574,72.332458503981513,0.84999999999999998,9.6630743915599311,0,0,0,-23.293728835250811,-23.003460537209751,-2.3853131932425056,0
7,0.0070000000000000001,-0.089758805080729726,0.089363652271177041,-0.093177894736946418,-0.015742398721642202,-0.025080010155391956,-0.69772641745328123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1231.4856779707873,1332.1346433429314,1231.7859952301296,1297.8957889966221,0,67.827882371990469,74.499971319960864,67.847536950396616,72.211115528318842,0.84999999999999998,9.6631542343449262,0,0,0,-19.612783188634818,-19.689020621213494,-2.6429218340299165,0
8,0.0080000000000000002,-0.077415692908864631,0.078216099899914585,-0.075495898194493524,-0.087713950454862563,0.094900111646584601,-0.66468417007820424,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1239.715017244908,1322.7894591136264,1239.3665463753778,1292.4140621406154,0,68.367009337740782,73.873290826769406,68.344156924020893,71.84649664670313,0.84999999999999998,9.6632419237999425,0,0,0,-17.633070053719933,-17.01357808767025,-2.8663699399818907,0
9,0.0090000000000000011,-0.064330637674049757,0.0609211367189499,-0.06202530945223067,-0.084170416672522702,-0.10413902176768583,-0.79001857863959035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1245.3259170166862,1314.6438305314434,1245.8207976627771,1289.1460900021116,0,68.735248662523702,73.32825076724086,68.767752757241908,71.629367069153929,0.84999999999999998,9.6633361605830679,0,0,0,-14.309263131789491,-14.619504753347458,-3.034390450046712,0
