id,in_F,in_qd1,in_qd2,in_qd3,in_qd4,in_qr1,in_qr2,in_qr3,in_qr4,in_Om1,in_Om2,in_Om3,in_tr1,in_tr2,in_tr3,in_qe1,in_qe2,in_qe3,in_qe4,in_estop,in_ack,tx_i161,tx_i162,tx_i163,tx_i164,tx_i165,tx_i166,tx_i167,tx_q1,tx_q2,tx_q3,tx_flags1,tx_flags2,rx_F,rx_qd1,rx_qd2,rx_qd3,rx_qd4,rx_qr1,rx_qr2,rx_qr3,rx_qr4,rx_Om1,rx_Om2,rx_Om3,rx_tr1,rx_tr2,rx_tr3,rx_qe1,rx_qe2,rx_qe3,rx_qe4,rx_estop,rx_ack
hover,9.6628500000000006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7916,0,0,0,0,0,0,537395712,537395712,537395712,0,0,9.6633808404797517,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hover_ack,9.6628500000000006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7916,0,0,0,0,0,0,537395712,537395712,537395712,0,1,9.6633808404797517,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
imax_w,9.6628500000000006,1,0.001,0.001,0.001,1,0.001,0.001,0.001,0,0,0,0,0,0,1,0.001,0.001,0.001,0,0,7916,0,0,0,0,0,0,538445313,538445313,538445313,0,0,9.6633808404797517,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0,0,0,0,0,0,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0,0
imax_x,9.6628500000000006,0.001,1,0.001,0.001,0.001,1,0.001,0.001,0,0,0,0,0,0,0.001,1,0.001,0.001,0,0,7916,0,0,0,0,0,0,1612187137,1612187137,1612187137,0,0,9.6633808404797517,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0,0,0,0,0,0,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0,0
imax_y,9.6628500000000006,0.001,0.001,1,0.001,0.001,0.001,1,0.001,0,0,0,0,0,0,0.001,0.001,1,0.001,0,0,7916,0,0,0,0,0,0,2685928961,2685928961,2685928961,0,0,9.6633808404797517,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0,0,0,0,0,0,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0,0
imax_z,9.6628500000000006,0.001,0.001,0.001,1,0.001,0.001,0.001,1,0,0,0,0,0,0,0.001,0.001,0.001,1,0,0,7916,0,0,0,0,0,0,3759670785,3759670785,3759670785,0,0,9.6633808404797517,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0,0,0,0,0,0,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0,0
signflip_w,9.6628500000000006,-1,0.001,-0.001,0.001,-1,0.001,-0.001,0.001,0,0,0,0,0,0,-1,0.001,-0.001,0.001,0,0,7916,0,0,0,0,0,0,536348159,536348159,536348159,0,0,9.6633808404797517,0.99999712776422778,-0.0013837706089756313,0.0013837706089756313,-0.0013837706089756313,0.99999712776422778,-0.0013837706089756313,0.0013837706089756313,-0.0013837706089756313,0,0,0,0,0,0,0.99999712776422778,-0.0013837706089756313,0.0013837706089756313,-0.0013837706089756313,0,0
signflip_z,9.6628500000000006,0.001,-0.001,0.001,-1,0.001,-0.001,0.001,-1,0,0,0,0,0,0,0.001,-0.001,0.001,-1,0,0,7916,0,0,0,0,0,0,3757573631,3757573631,3757573631,0,0,9.6633808404797517,-0.0013837706089756313,0.0013837706089756313,-0.0013837706089756313,0.99999712776422778,-0.0013837706089756313,0.0013837706089756313,-0.0013837706089756313,0.99999712776422778,0,0,0,0,0,0,-0.0013837706089756313,0.0013837706089756313,-0.0013837706089756313,0.99999712776422778,0,0
near_half_ww,9.6628500000000006,0.70710678118654746,0.70710678118654746,0,0,0.70710678118654746,0.70710678118654746,0,0,0,0,0,0,0,0,0.70710678118654746,0.70710678118654746,0,0,0,0,7916,0,0,0,0,0,0,1073218048,1073218048,1073218048,0,0,9.6633808404797517,0.70710678118654757,0.70710678118654746,0,0,0.70710678118654757,0.70710678118654746,0,0,0,0,0,0,0,0,0.70710678118654757,0.70710678118654746,0,0,0,0
near_half_pp,9.6628500000000006,0.70720000000000005,0.70699999999999996,0.0001,0.0001,0.70720000000000005,0.70699999999999996,0.0001,0.0001,0,0,0,0,0,0,0.70720000000000005,0.70699999999999996,0.0001,0.0001,0,0,7916,0,0,0,0,0,0,1073218048,1073218048,1073218048,0,0,9.6633808404797517,0.70710678118654757,0.70710678118654746,0,0,0.70710678118654757,0.70710678118654746,0,0,0,0,0,0,0,0,0.70710678118654757,0.70710678118654746,0,0,0,0
