id,in_moc1,in_moc2,in_moc3,in_qe1,in_qe2,in_qe3,in_qe4,in_p1,in_p2,in_p3,in_v1,in_v2,in_v3,in_a1,in_a2,in_a3,in_j1,in_j2,in_j3,in_s1,in_s2,in_s3,in_yaw1,in_yaw2,in_yaw3,in_estop,in_ack,tx_i161,tx_i162,tx_i163,tx_i164,tx_i165,tx_i166,tx_i167,tx_i168,tx_i169,tx_i1610,tx_i1611,tx_i1612,tx_i1613,tx_i1614,tx_i1615,tx_i1616,tx_i1617,tx_i1618,tx_i1619,tx_i1620,tx_i1621,tx_q,tx_flags1,tx_flags2,rx_moc1,rx_moc2,rx_moc3,rx_qe1,rx_qe2,rx_qe3,rx_qe4,rx_p1,rx_p2,rx_p3,rx_v1,rx_v2,rx_v3,rx_a1,rx_a2,rx_a3,rx_j1,rx_j2,rx_j3,rx_s1,rx_s2,rx_s3,rx_yaw1,rx_yaw2,rx_yaw3,rx_estop,rx_ack
hover,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537395712,0,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hover_ack,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537395712,0,1,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
imax_w,0,0,1,1,0.001,0.001,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538445313,0,0,0,0,0.99978637043366803,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imax_x,0,0,1,0.001,1,0.001,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612187137,0,0,0,0,0.99978637043366803,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0.0013837706089756313,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imax_y,0,0,1,0.001,0.001,1,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2685928961,0,0,0,0,0.99978637043366803,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0.0013837706089756313,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imax_z,0,0,1,0.001,0.001,0.001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3759670785,0,0,0,0,0.99978637043366803,0.0013837706089756313,0.0013837706089756313,0.0013837706089756313,0.99999712776422778,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
signflip_w,0,0,1,-1,0.001,-0.001,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536348159,0,0,0,0,0.99978637043366803,0.99999712776422778,-0.0013837706089756313,0.0013837706089756313,-0.0013837706089756313,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
near_half,0,0,1,0.70710678118654746,0.70710678118654746,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073218048,0,0,0,0,0.99978637043366803,0.70710678118654757,0.70710678118654746,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mocap_invalid,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sat_moc,30,-30,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32767,-32768,32767,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537395712,0,0,20,-20.00061037018952,20,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
